"Country Name","Country Code","Region","Income_Group",
"","HTI","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Низкий уровень дохода",
"","HUN","","Высокий уровень дохода",
"","IBD","","",
"","IBT","","",
"","IDA","","",
"","IDB","","",
"","IDN","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","IDX","","",
"","IMN","","Высокий уровень дохода",
"","IND","Южная Азия","Уровень дохода ниже среднего  ",
"","INX","","",
"","IRL","","Высокий уровень дохода",
"","IRN","Ближний Восток и Северная Африка (только развивающиеся страны)","Уровень дохода выше среднего",
"","IRQ","Ближний Восток и Северная Африка (только развивающиеся страны)","Уровень дохода выше среднего",
"","ISL","","Высокий уровень дохода",
"","ISR","","Высокий уровень дохода",
"","ITA","","Высокий уровень дохода",
"","JAM","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","JOR","Ближний Восток и Северная Африка (только развивающиеся страны)","Уровень дохода выше среднего",
"","JPN","","Высокий уровень дохода",
"","KAZ","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","KEN","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","KGZ","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","KHM","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","KIR","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","KNA","","Высокий уровень дохода",
"","KOR","","Высокий уровень дохода",
"","KWT","","Высокий уровень дохода",
"Латинская Америка и Карибский бассейн (только развивающиеся страны)","LAC","","",
"","LAO","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","LBN","Ближний Восток и Северная Африка (только развивающиеся страны)","Уровень дохода выше среднего",
"","LBR","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","LBY","Ближний Восток и Северная Африка (только развивающиеся страны)","Уровень дохода выше среднего",
"","LCA","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"Латинская Америка и Карибский бассейн (все уровни дохода)","LCN","","",
"","LDC","","",
"Низкий уровень дохода","LIC","","",
"","LIE","","Высокий уровень дохода",
"","LKA","Южная Азия","Уровень дохода выше среднего",
"Уровень дохода ниже среднего  ","LMC","","",
"Низкий и средний уровни дохода","LMY","","",
"","LSO","Африка к югу от Сахары (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","LTE","","",
"","LTU","","Высокий уровень дохода",
"","LUX","","Высокий уровень дохода",
"","LVA","","Высокий уровень дохода",
"","MAC","","Высокий уровень дохода",
"","MAF","","Высокий уровень дохода",
"","MAR","Ближний Восток и Северная Африка (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","MCO","","Высокий уровень дохода",
"","MDA","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"","MDG","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","MDV","Южная Азия","Уровень дохода выше среднего",
"Ближний Восток и Северная Африка (все уровни дохода)","MEA","","",
"","MEX","Латинская Америка и Карибский бассейн (только развивающиеся страны)","Уровень дохода выше среднего",
"","MHL","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода выше среднего",
"Средний уровень дохода","MIC","","",
"Северная Македония","MKD","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
"","MLI","Африка к югу от Сахары (только развивающиеся страны)","Низкий уровень дохода",
"","MLT","","Высокий уровень дохода",
"","MMR","Восточная Азия и Тихоокеанский регион (только развивающиеся страны)","Уровень дохода ниже среднего  ",
"Ближний Восток и Северная Африка (только развивающиеся страны)","MNA","","",
"","MNE","Европа и Центральная Азия (только развивающиеся страны)","Уровень дохода выше среднего",
