Date,Close
1996-12-31,375958.1
1997-12-31,368186.34603260376
1998-12-31,198801.72876886264
1999-12-31,239802.13176908222
2000-12-31,346806.21447066875
2001-12-31,377669.8207921289
2002-12-31,384452.5326120152
2003-12-31,425868.28726699005
2004-12-31,499470.70309095026
2005-12-31,567561.3359528488
2006-12-31,682041.0520396245
2007-12-31,865682.2241986003
2008-12-31,999205.3796964249
2009-12-31,834136.4568081991
2010-12-31,879873.8655591448
2011-12-31,999968.4668358101
2012-12-31,1070145.6836520394
2013-12-31,1074120.0118191037
2014-12-31,997084.284208186
2015-12-31,882731.0301459659
2016-12-31,888913.1448891032
2017-12-31,942316.8552009595
2018-12-31,992219.4778097332
2019-12-31,1057295.0016692115
