Date,Close
1991-12-25,260.4
1992-12-25,2608.84
1993-12-25,939.9
1994-12-25,315.14
1995-12-25,231.3
1996-12-25,121.81
1997-12-25,111.03
1998-12-25,184.43
1999-12-25,136.53
2000-12-25,120.18
2001-12-25,118.58
2002-12-25,115.06
2003-12-25,111.99
2004-12-25,111.73
2005-12-25,110.92
2006-12-25,109.0
2007-12-25,111.87
2008-12-25,113.28
2009-12-25,108.8
2010-12-25,108.78
2011-12-25,106.1
2012-12-25,106.57
2013-12-25,106.47
2014-12-25,111.35
2015-12-25,112.91
2016-12-25,105.39
2017-12-25,102.51
2018-12-25,104.26
2019-12-25,103.04
