Date,Open,High,Low,Close
1990-01-02,1788.890015,1788.890015,1788.890015,1788.890015
1990-01-03,1867.290039,1867.290039,1867.290039,1867.290039
1990-01-04,1830.9200440000002,1830.9200440000002,1830.9200440000002,1830.9200440000002
1990-01-05,1812.9000239999998,1812.9000239999998,1812.9000239999998,1812.9000239999998
1990-01-08,1841.469971,1841.469971,1841.469971,1841.469971
1990-01-09,1865.52002,1865.52002,1865.52002,1865.52002
1990-01-10,1843.050049,1843.050049,1843.050049,1843.050049
1990-01-11,1843.4200440000002,1843.4200440000002,1843.4200440000002,1843.4200440000002
1990-01-12,1860.959961,1860.959961,1860.959961,1860.959961
1990-01-15,1840.380005,1840.380005,1840.380005,1840.380005
1990-01-16,1806.0999760000002,1806.0999760000002,1806.0999760000002,1806.0999760000002
1990-01-17,1810.609985,1810.609985,1810.609985,1810.609985
1990-01-18,1771.6700440000002,1771.6700440000002,1771.6700440000002,1771.6700440000002
1990-01-19,1775.290039,1775.290039,1775.290039,1775.290039
1990-01-22,1787.0799559999998,1787.0799559999998,1787.0799559999998,1787.0799559999998
1990-01-23,1785.0,1785.0,1785.0,1785.0
1990-01-24,1751.619995,1751.619995,1751.619995,1751.619995
1990-01-25,1791.52002,1791.52002,1791.52002,1791.52002
1990-01-26,1798.219971,1798.219971,1798.219971,1798.219971
1990-01-29,1815.689941,1815.689941,1815.689941,1815.689941
1990-01-30,1815.199951,1815.199951,1815.199951,1815.199951
1990-01-31,1821.209961,1821.209961,1821.209961,1821.209961
1990-02-01,1852.9200440000002,1852.9200440000002,1852.9200440000002,1852.9200440000002
1990-02-02,1908.459961,1908.459961,1908.459961,1908.459961
1990-02-05,1939.819946,1939.819946,1939.819946,1939.819946
1990-02-06,1936.25,1936.25,1936.25,1936.25
1990-02-07,1895.6500239999998,1895.6500239999998,1895.6500239999998,1895.6500239999998
1990-02-08,1909.949951,1909.949951,1909.949951,1909.949951
1990-02-09,1895.930054,1895.930054,1895.930054,1895.930054
1990-02-12,1844.469971,1844.469971,1844.469971,1844.469971
1990-02-13,1857.0999760000002,1857.0999760000002,1857.0999760000002,1857.0999760000002
1990-02-14,1836.5799559999998,1836.5799559999998,1836.5799559999998,1836.5799559999998
1990-02-15,1845.9200440000002,1845.9200440000002,1845.9200440000002,1845.9200440000002
1990-02-16,1888.819946,1888.819946,1888.819946,1888.819946
1990-02-19,1886.72998,1886.72998,1886.72998,1886.72998
1990-02-20,1830.5100100000002,1830.5100100000002,1830.5100100000002,1830.5100100000002
1990-02-21,1807.4000239999998,1807.4000239999998,1807.4000239999998,1807.4000239999998
1990-02-22,1823.5,1823.5,1823.5,1823.5
1990-02-23,1788.390015,1788.390015,1788.390015,1788.390015
1990-02-26,1764.060059,1764.060059,1764.060059,1764.060059
1990-02-27,1797.040039,1797.040039,1797.040039,1797.040039
1990-02-28,1806.630005,1806.630005,1806.630005,1806.630005
1990-03-01,1796.180054,1796.180054,1796.180054,1796.180054
1990-03-02,1804.97998,1804.97998,1804.97998,1804.97998
1990-03-05,1838.180054,1838.180054,1838.180054,1838.180054
1990-03-06,1820.359985,1820.359985,1820.359985,1820.359985
1990-03-07,1841.9200440000002,1841.9200440000002,1841.9200440000002,1841.9200440000002
1990-03-08,1861.949951,1861.949951,1861.949951,1861.949951
1990-03-09,1858.890015,1858.890015,1858.890015,1858.890015
1990-03-12,1843.7399899999998,1843.7399899999998,1843.7399899999998,1843.7399899999998
1990-03-13,1866.569946,1866.569946,1866.569946,1866.569946
1990-03-14,1876.890015,1876.890015,1876.890015,1876.890015
1990-03-15,1884.2600100000002,1884.2600100000002,1884.2600100000002,1884.2600100000002
1990-03-16,1881.97998,1881.97998,1881.97998,1881.97998
1990-03-19,1924.560059,1924.560059,1924.560059,1924.560059
1990-03-20,1903.300049,1903.300049,1903.300049,1903.300049
1990-03-21,1930.6700440000002,1930.6700440000002,1930.6700440000002,1930.6700440000002
1990-03-22,1931.75,1931.75,1931.75,1931.75
1990-03-23,1921.640015,1921.640015,1921.640015,1921.640015
1990-03-26,1934.780029,1934.780029,1934.780029,1934.780029
1990-03-27,1926.9200440000002,1926.9200440000002,1926.9200440000002,1926.9200440000002
1990-03-28,1918.300049,1918.300049,1918.300049,1918.300049
1990-03-29,1955.880005,1955.880005,1955.880005,1955.880005
1990-03-30,1966.75,1966.75,1966.75,1966.75
1990-04-02,1935.2600100000002,1935.2600100000002,1935.2600100000002,1935.2600100000002
1990-04-03,1965.910034,1965.910034,1965.910034,1965.910034
1990-04-04,1960.890015,1960.890015,1960.890015,1960.890015
1990-04-05,1952.800049,1952.800049,1952.800049,1952.800049
1990-04-06,1959.0799559999998,1959.0799559999998,1959.0799559999998,1959.0799559999998
1990-04-09,1919.780029,1919.780029,1919.780029,1919.780029
1990-04-10,1913.140015,1913.140015,1913.140015,1913.140015
1990-04-11,1890.9000239999998,1890.9000239999998,1890.9000239999998,1890.9000239999998
1990-04-12,1909.869995,1909.869995,1909.869995,1909.869995
1990-04-17,1916.22998,1916.22998,1916.22998,1916.22998
1990-04-18,1896.910034,1896.910034,1896.910034,1896.910034
1990-04-19,1873.790039,1873.790039,1873.790039,1873.790039
1990-04-20,1890.619995,1890.619995,1890.619995,1890.619995
1990-04-23,1851.3499760000002,1851.3499760000002,1851.3499760000002,1851.3499760000002
1990-04-24,1841.209961,1841.209961,1841.209961,1841.209961
1990-04-25,1845.939941,1845.939941,1845.939941,1845.939941
1990-04-26,1830.9200440000002,1830.9200440000002,1830.9200440000002,1830.9200440000002
1990-04-27,1817.800049,1817.800049,1817.800049,1817.800049
1990-04-30,1812.910034,1812.910034,1812.910034,1812.910034
1990-05-02,1835.810059,1835.810059,1835.810059,1835.810059
1990-05-03,1874.8499760000002,1874.8499760000002,1874.8499760000002,1874.8499760000002
1990-05-04,1904.8499760000002,1904.8499760000002,1904.8499760000002,1904.8499760000002
1990-05-07,1920.880005,1920.880005,1920.880005,1920.880005
1990-05-08,1910.180054,1910.180054,1910.180054,1910.180054
1990-05-09,1903.609985,1903.609985,1903.609985,1903.609985
1990-05-10,1884.9000239999998,1884.9000239999998,1884.9000239999998,1884.9000239999998
1990-05-11,1884.7600100000002,1884.7600100000002,1884.7600100000002,1884.7600100000002
1990-05-14,1857.97998,1857.97998,1857.97998,1857.97998
1990-05-15,1843.77002,1843.77002,1843.77002,1843.77002
1990-05-16,1850.2600100000002,1850.2600100000002,1850.2600100000002,1850.2600100000002
1990-05-17,1831.589966,1831.589966,1831.589966,1831.589966
1990-05-18,1856.449951,1856.449951,1856.449951,1856.449951
1990-05-21,1817.709961,1817.709961,1817.709961,1817.709961
1990-05-22,1803.25,1803.25,1803.25,1803.25
