Date,Close
1991-01-01,106.2
1991-02-01,104.8
1991-03-01,106.3
1991-04-01,163.5
1991-05-01,103.0
1991-06-01,101.2
1991-07-01,100.6
1991-08-01,100.5
1991-09-01,101.1
1991-10-01,103.5
1991-11-01,108.9
1991-12-01,112.1
1992-01-01,345.3
1992-02-01,138.0
1992-03-01,129.9
1992-04-01,121.7
1992-05-01,111.9
1992-06-01,119.1
1992-07-01,110.6
1992-08-01,108.6
1992-09-01,111.5
1992-10-01,122.9
1992-11-01,126.1
1992-12-01,125.2
1993-01-01,125.8
1993-02-01,124.7
1993-03-01,120.1
1993-04-01,118.7
1993-05-01,118.1
1993-06-01,119.9
1993-07-01,122.39
1993-08-01,126.0
1993-09-01,123.0
1993-10-01,119.5
1993-11-01,116.39
1993-12-01,112.5
1994-01-01,117.9
1994-02-01,110.82
1994-03-01,107.41
1994-04-01,108.49
1994-05-01,106.91
1994-06-01,106.0
1994-07-01,105.33
1994-08-01,104.62
1994-09-01,107.96
1994-10-01,115.0
1994-11-01,114.61
1994-12-01,116.44
1995-01-01,117.77
1995-02-01,111.02
1995-03-01,108.94
1995-04-01,108.47
1995-05-01,107.93
1995-06-01,106.66
1995-07-01,105.38
1995-08-01,104.56
1995-09-01,104.46
1995-10-01,104.72
1995-11-01,104.56
1995-12-01,103.2
1996-01-01,104.11
1996-02-01,102.79
1996-03-01,102.8
1996-04-01,102.16
1996-05-01,101.6
1996-06-01,101.17
1996-07-01,100.72
1996-08-01,99.79
1996-09-01,100.33
1996-10-01,101.2
1996-11-01,101.88
1996-12-01,101.42
1997-01-01,102.34
1997-02-01,101.54
1997-03-01,101.43
1997-04-01,100.96
1997-05-01,100.94
1997-06-01,101.1
1997-07-01,100.93
1997-08-01,99.86
1997-09-01,99.7
1997-10-01,100.17
1997-11-01,100.61
1997-12-01,100.96
1998-01-01,101.51
1998-02-01,100.89
1998-03-01,100.64
1998-04-01,100.38
1998-05-01,100.5
1998-06-01,100.08
1998-07-01,100.17
1998-08-01,103.67
1998-09-01,138.43
1998-10-01,104.54
1998-11-01,105.67
1998-12-01,111.61
1999-01-01,108.38
1999-02-01,104.13
1999-03-01,102.79
1999-04-01,103.03
1999-05-01,102.22
1999-06-01,101.91
1999-07-01,102.82
1999-08-01,101.16
1999-09-01,101.48
1999-10-01,101.37
1999-11-01,101.23
1999-12-01,101.26
2000-01-01,102.33
2000-02-01,101.04
2000-03-01,100.64
2000-04-01,100.89
2000-05-01,101.75
2000-06-01,102.55
2000-07-01,101.79
2000-08-01,100.98
2000-09-01,101.32
2000-10-01,102.11
2000-11-01,101.52
2000-12-01,101.64
2001-01-01,102.76
2001-02-01,102.28
2001-03-01,101.86
2001-04-01,101.79
2001-05-01,101.78
2001-06-01,101.62
2001-07-01,100.45
2001-08-01,100.01
2001-09-01,100.6
2001-10-01,101.09
2001-11-01,101.36
2001-12-01,101.6
2002-01-01,103.09
2002-02-01,101.16
2002-03-01,101.08
2002-04-01,101.16
2002-05-01,101.69
2002-06-01,100.53
2002-07-01,100.72
2002-08-01,100.09
2002-09-01,100.4
2002-10-01,101.07
2002-11-01,101.61
2002-12-01,101.54
2003-01-01,102.4
2003-02-01,101.63
2003-03-01,101.05
2003-04-01,101.02
2003-05-01,100.8
2003-06-01,100.8
2003-07-01,100.71
2003-08-01,99.59
2003-09-01,100.34
2003-10-01,101.0
2003-11-01,100.96
2003-12-01,101.1
2004-01-01,101.75
2004-02-01,100.99
2004-03-01,100.75
2004-04-01,100.99
2004-05-01,100.74
2004-06-01,100.78
2004-07-01,100.92
2004-08-01,100.42
2004-09-01,100.43
2004-10-01,101.14
2004-11-01,101.11
2004-12-01,101.14
2005-01-01,102.62
2005-02-01,101.23
2005-03-01,101.34
2005-04-01,101.12
2005-05-01,100.8
2005-06-01,100.64
2005-07-01,100.46
2005-08-01,99.86
2005-09-01,100.25
2005-10-01,100.55
2005-11-01,100.74
2005-12-01,100.82
2006-01-01,102.43
2006-02-01,101.66
2006-03-01,100.82
2006-04-01,100.35
2006-05-01,100.48
2006-06-01,100.28
2006-07-01,100.67
2006-08-01,100.19
2006-09-01,100.09
2006-10-01,100.28
2006-11-01,100.63
2006-12-01,100.79
2007-01-01,101.68
2007-02-01,101.11
2007-03-01,100.59
2007-04-01,100.57
2007-05-01,100.63
2007-06-01,100.95
2007-07-01,100.87
2007-08-01,100.09
2007-09-01,100.79
2007-10-01,101.64
2007-11-01,101.23
2007-12-01,101.13
2008-01-01,102.31
2008-02-01,101.2
2008-03-01,101.2
2008-04-01,101.42
2008-05-01,101.35
2008-06-01,100.97
2008-07-01,100.51
2008-08-01,100.36
2008-09-01,100.8
2008-10-01,100.91
2008-11-01,100.83
2008-12-01,100.69
2009-01-01,102.37
2009-02-01,101.65
2009-03-01,101.31
2009-04-01,100.69
2009-05-01,100.57
2009-06-01,100.6
2009-07-01,100.63
2009-08-01,100.0
2009-09-01,99.97
2009-10-01,100.0
2009-11-01,100.29
2009-12-01,100.41
2010-01-01,101.64
2010-02-01,100.86
2010-03-01,100.63
2010-04-01,100.29
2010-05-01,100.5
2010-06-01,100.39
2010-07-01,100.36
2010-08-01,100.55
2010-09-01,100.84
2010-10-01,100.5
2010-11-01,100.81
2010-12-01,101.08
2011-01-01,102.37
2011-02-01,100.78
2011-03-01,100.62
2011-04-01,100.43
2011-05-01,100.48
2011-06-01,100.23
2011-07-01,99.99
2011-08-01,99.76
2011-09-01,99.96
2011-10-01,100.48
2011-11-01,100.42
2011-12-01,100.44
2012-01-01,100.5
2012-02-01,100.37
2012-03-01,100.58
2012-04-01,100.31
2012-05-01,100.52
2012-06-01,100.89
2012-07-01,101.23
2012-08-01,100.1
2012-09-01,100.55
2012-10-01,100.46
2012-11-01,100.34
2012-12-01,100.54
2013-01-01,100.97
2013-02-01,100.56
2013-03-01,100.34
2013-04-01,100.51
2013-05-01,100.66
2013-06-01,100.42
2013-07-01,100.82
2013-08-01,100.14
2013-09-01,100.21
2013-10-01,100.57
2013-11-01,100.56
2013-12-01,100.51
2014-01-01,100.59
2014-02-01,100.7
2014-03-01,101.02
2014-04-01,100.9
2014-05-01,100.9
2014-06-01,100.62
2014-07-01,100.49
2014-08-01,100.24
2014-09-01,100.65
2014-10-01,100.82
2014-11-01,101.28
2014-12-01,102.62
2015-01-01,103.85
2015-02-01,102.22
2015-03-01,101.21
2015-04-01,100.46
2015-05-01,100.35
2015-06-01,100.19
2015-07-01,100.8
2015-08-01,100.35
2015-09-01,100.57
2015-10-01,100.74
2015-11-01,100.75
2015-12-01,100.77
2016-01-01,100.96
2016-02-01,100.63
2016-03-01,100.46
2016-04-01,100.44
2016-05-01,100.41
2016-06-01,100.36
2016-07-01,100.54
2016-08-01,100.01
2016-09-01,100.17
2016-10-01,100.43
2016-11-01,100.44
2016-12-01,100.4
2017-01-01,100.62
2017-02-01,100.22
2017-03-01,100.13
2017-04-01,100.33
2017-05-01,100.37
2017-06-01,100.61
2017-07-01,100.07
2017-08-01,99.46
2017-09-01,99.85
2017-10-01,100.2
2017-11-01,100.22
2017-12-01,100.42
2018-01-01,100.31
2018-02-01,100.21
2018-03-01,100.29
2018-04-01,100.38
2018-05-01,100.38
2018-06-01,100.49
2018-07-01,100.27
2018-08-01,100.01
2018-09-01,100.16
2018-10-01,100.35
2018-11-01,100.5
2018-12-01,100.84
2019-01-01,101.01
2019-02-01,100.44
2019-03-01,100.32
2019-04-01,100.29
2019-05-01,100.34
2019-06-01,100.04
2019-07-01,100.2
2019-08-01,99.76
2019-09-01,99.84
2019-10-01,100.13
2019-11-01,100.28
2019-12-01,100.36
2020-01-01,100.4
2020-02-01,100.33
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
